name,num_parts,num_vertices,num_edges,part_time,sys_time,comm_vol,edge_cut,avg_part_size,std_part_size,min_part_size,max_part_size,perf_time,perf_total_time,perf_std
roadNet-TX.txt.metis,2,1379917,1921660,2.163203,0.025388s,387466,442412,689958.500,0.500,689958,689959,3.9357,3.8821,0.0306
roadNet-TX.txt.metis,2,1379917,1921660,2.098297,0.002366s,387466,442412,689958.500,0.500,689958,689959,3.8809,3.8821,0.0306
roadNet-TX.txt.metis,2,1379917,1921660,2.062353,0.012000s,387466,442412,689958.500,0.500,689958,689959,3.8299,3.8821,0.0306
com-dblp.ungraph.txt.metis,16,317080,1049866,2.715893,0.004002s,324615,566622,19817.500,29.532,19795,19927,4.08921,4.09731,0.00692
com-dblp.ungraph.txt.metis,16,317080,1049866,2.741449,0.003995s,324615,566622,19817.500,29.532,19795,19927,4.11107,4.09731,0.00692
com-dblp.ungraph.txt.metis,16,317080,1049866,2.711623,0.016006s,324615,566622,19817.500,29.532,19795,19927,4.09163,4.09731,0.00692
cit-Patents.txt.metis,4,3774768,16518947,16.781310,0.088008s,6563738,16970156,943692.000,13.730,943681,943715,31.3709,31.4208,0.0393
cit-Patents.txt.metis,4,3774768,16518947,16.927367,0.068011s,6563738,16970156,943692.000,13.730,943681,943715,31.4985,31.4208,0.0393
cit-Patents.txt.metis,4,3774768,16518947,16.826210,0.060020s,6563738,16970156,943692.000,13.730,943681,943715,31.3931,31.4208,0.0393
roadNet-TX.txt.metis,256,1379917,1921660,73.423997,0.033581s,837126,879920,5390.301,8.505,5382,5444,128.651,128.867,0.125
roadNet-TX.txt.metis,256,1379917,1921660,73.625897,0.033225s,837126,879920,5390.301,8.505,5382,5444,128.866,128.867,0.125
roadNet-TX.txt.metis,256,1379917,1921660,73.372511,0.048000s,837126,879920,5390.301,8.505,5382,5444,129.084,128.867,0.125
wiki-topcats.txt.metis,256,1791489,25444207,741.852798,0.176682s,17987837,37868558,6998.004,197.135,6777,7208,828.93,831.16,2.05
wiki-topcats.txt.metis,256,1791489,25444207,747.874254,0.113730s,17987837,37868558,6998.004,197.135,6777,7208,835.26,831.16,2.05
